IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.19.2,443,80,false,ICN,Asia Pacific,Seoul,84,19.04
37.123.196.135,443,80,false,HKG,Asia Pacific,Hong Kong,94,17.44
8.222.101.17,443,443,true,IAD,North America,Ashburn,74,14.35
3.109.185.221,443,443,true,BOM,Asia Pacific,Mumbai,134,12.26
31.129.48.139,443,443,true,LED,Europe,Saint Petersburg,171,11.95
3.108.117.25,443,443,true,BOM,Asia Pacific,Mumbai,130,11.59
31.129.49.103,443,443,true,LED,Europe,Saint Petersburg,160,11.06
54.193.48.13,443,443,true,SJC,North America,San Jose,173,10.60
140.238.29.117,443,80,false,ICN,Asia Pacific,Seoul,99,9.10
3.75.149.151,443,443,true,FRA,Europe,Frankfurt,173,8.34
20.38.32.52,443,443,true,LAX,North America,Los Angeles,215,8.04
111.247.40.239,443,443,true,KHH,Asia Pacific,Kaohsiung City,83,7.82
94.177.8.6,443,443,true,VIE,Europe,Vienna,203,7.80
51.20.197.83,443,443,true,ARN,Europe,Stockholm,202,7.23
46.102.156.77,443,443,true,VIE,Europe,Vienna,195,7.17
94.177.8.51,443,443,true,VIE,Europe,Vienna,176,7.10
94.177.8.23,443,443,true,VIE,Europe,Vienna,188,7.03
35.154.110.69,443,443,true,BOM,Asia Pacific,Mumbai,128,6.68
204.110.223.39,443,443,true,ORD,North America,Chicago,223,6.34
